epoch,lr,train_loss,val_top1,val_top5,val_loss
0,1e-06,4.650328159332275,0.7799999713897705,5.089999675750732,4.646590232849121
1,4.098e-05,4.615428447723389,1.4199999570846558,6.429999828338623,4.592966079711914
2,8.096e-05,4.59660530090332,2.369999885559082,10.969999313354492,4.549633026123047
3,0.00012093999999999999,4.571745872497559,3.5299999713897705,14.15999984741211,4.467618465423584
4,0.00016092,4.553783416748047,5.069999694824219,17.5,4.4183669090271
5,0.0002009,4.530372619628906,5.5,19.969999313354492,4.344552040100098
6,0.00024087999999999998,4.517333030700684,6.099999904632568,21.760000228881836,4.288424968719482
7,0.00028086,4.491674423217773,6.779999732971191,23.729999542236328,4.2316508293151855
8,0.00032084,4.476657390594482,8.139999389648438,25.959999084472656,4.17561149597168
9,0.00036082000000000003,4.455172061920166,8.929999351501465,28.010000228881836,4.106210231781006
10,0.00040080000000000004,4.429581165313721,10.519999504089355,30.209999084472656,4.030089378356934
11,0.00044078000000000005,4.405147552490234,11.460000038146973,33.16999816894531,3.963059663772583
12,0.00048076,4.4030070304870605,12.109999656677246,32.90999984741211,3.940901517868042
13,0.00052074,4.387036323547363,12.539999961853027,34.30999755859375,3.9135491847991943
14,0.00056072,4.372396945953369,13.960000038146973,37.23999786376953,3.8510193824768066
15,0.0006007,4.366401672363281,13.920000076293945,36.82999801635742,3.8039982318878174
16,0.00064068,4.361968994140625,14.589999198913574,38.41999816894531,3.7758865356445312
17,0.00068066,4.359352111816406,15.210000038146973,39.38999938964844,3.7669873237609863
18,0.00072064,4.32111930847168,15.539999961853027,39.53999710083008,3.7510123252868652
19,0.00076062,4.3228678703308105,15.739999771118164,41.38999938964844,3.7101967334747314
20,0.0008006,4.3304619789123535,17.139999389648438,41.57999801635742,3.698976516723633
21,0.0008405800000000001,4.318733215332031,16.969999313354492,41.279998779296875,3.6640162467956543
22,0.0008805600000000001,4.31704044342041,17.369998931884766,42.54999923706055,3.6393299102783203
23,0.0009205400000000001,4.30735445022583,17.979999542236328,44.09000015258789,3.6494686603546143
24,0.00096052,4.32921838760376,17.350000381469727,42.48999786376953,3.6369943618774414
25,0.0010004999999999999,4.270397663116455,19.81999969482422,45.78999710083008,3.529574155807495
26,0.0010404799999999999,4.275038719177246,19.779998779296875,45.93000030517578,3.5488030910491943
27,0.0010804599999999999,4.261499881744385,19.19999885559082,45.43000030517578,3.5306010246276855
28,0.0011204399999999999,4.269290447235107,20.40999984741211,47.2599983215332,3.468003034591675
29,0.00116042,4.290724277496338,21.09000015258789,47.98999786376953,3.4881656169891357
30,0.0012004,4.253661155700684,20.059999465942383,46.65999984741211,3.4995245933532715
31,0.00124038,4.249638557434082,20.600000381469727,48.62999725341797,3.4302914142608643
32,0.00128036,4.264663219451904,20.969999313354492,47.73999786376953,3.44881010055542
33,0.00132034,4.239391803741455,21.459999084472656,48.689998626708984,3.4210944175720215
34,0.00136032,4.245220184326172,21.399999618530273,48.84000015258789,3.4326846599578857
35,0.0014003,4.21753454208374,21.0,49.15999984741211,3.4324779510498047
36,0.00144028,4.244021892547607,21.010000228881836,48.31999969482422,3.373994827270508
37,0.00148026,4.210320949554443,22.25,49.89999771118164,3.38582444190979
38,0.00152024,4.231469631195068,22.0,49.41999816894531,3.3642537593841553
39,0.00156022,4.202260971069336,23.829999923706055,51.68000030517578,3.2914209365844727
40,0.0016002,4.174487113952637,22.40999984741211,50.04999923706055,3.3184866905212402
41,0.00164018,4.193078517913818,23.649999618530273,51.369998931884766,3.2926526069641113
42,0.00168016,4.210995674133301,24.06999969482422,52.5,3.300787925720215
43,0.00172014,4.188353061676025,24.139999389648438,52.689998626708984,3.274512767791748
44,0.00176012,4.149001598358154,24.65999984741211,54.64999771118164,3.209089756011963
45,0.0018001,4.177469730377197,25.40999984741211,54.13999938964844,3.240968942642212
46,0.00184008,4.16304349899292,24.56999969482422,53.72999954223633,3.2751526832580566
47,0.00188006,4.168694019317627,26.1299991607666,55.14999771118164,3.1758065223693848
48,0.0019200399999999998,4.189382076263428,24.979999542236328,54.41999816894531,3.206207752227783
49,0.0019600200000000003,4.155801773071289,25.709999084472656,55.31999969482422,3.127487897872925
50,0.0018666952767655164,4.134551525115967,26.529998779296875,55.94999694824219,3.177708625793457
51,0.0018614383168689239,4.159405708312988,23.8799991607666,53.369998931884766,3.274385690689087
52,0.0018560874388597042,4.129744052886963,26.829999923706055,56.72999954223633,3.1599254608154297
53,0.0018506432295219298,4.1315789222717285,26.779998779296875,55.89999771118164,3.126979351043701
54,0.001845106285874505,4.145493984222412,27.729999542236328,57.38999938964844,3.0972790718078613
55,0.0018394772151056969,4.104280471801758,28.5,57.63999938964844,3.0091965198516846
56,0.001833756634506549,4.114058494567871,26.8799991607666,56.599998474121094,3.1450865268707275
57,0.001827945171403189,4.141305446624756,28.439998626708984,57.7599983215332,3.0839791297912598
58,0.0018220434630880356,4.083011627197266,28.099998474121094,58.41999816894531,2.9887659549713135
59,0.0018160521567499113,4.105894088745117,28.299999237060547,58.39999771118164,3.0858511924743652
60,0.0018099719094030727,4.080867767333984,30.60999870300293,60.82999801635742,2.926569700241089
61,0.001803803387815159,4.118846416473389,29.25,60.019996643066406,3.0030150413513184
62,0.0017975472684340753,4.07661771774292,28.869998931884766,58.64999771118164,3.0281598567962646
63,0.001791204237313812,4.097979545593262,30.15999984741211,60.55999755859375,3.0020623207092285
64,0.0017847749900392106,4.06960391998291,29.09000015258789,58.3599967956543,2.988847494125366
65,0.001778260231649686,4.077324390411377,30.489999771118164,60.03999710083008,2.9260969161987305
66,0.0017716606765619104,4.087055206298828,29.8799991607666,59.439998626708984,2.9636409282684326
67,0.0017649770484914691,4.094482421875,30.90999984741211,61.46999740600586,2.897315502166748
68,0.0017582100803734976,4.051090717315674,31.1299991607666,60.72999954223633,2.8685834407806396
69,0.0017513605142823073,4.069906711578369,32.06999969482422,62.54999923706055,2.899381637573242
70,0.0017444291013500076,4.027385711669922,31.489999771118164,61.13999938964844,2.8608875274658203
71,0.0017374166016841358,4.0289387702941895,33.13999938964844,63.71999740600586,2.844886541366577
72,0.0017303237842843046,4.0721588134765625,31.25,61.47999954223633,2.9178452491760254
73,0.0017231514269578703,4.051023006439209,31.989999771118164,62.59000015258789,2.8684022426605225
74,0.0017159003162346394,4.063162803649902,34.15999984741211,64.72999572753906,2.8272347450256348
75,0.0017085712472806147,3.980365753173828,34.09000015258789,65.27999877929688,2.727375030517578
76,0.001701165023810799,4.030117034912109,33.13999938964844,63.79999923706055,2.863720178604126
77,0.0016936824580010548,3.9932351112365723,35.68000030517578,65.91999816894531,2.668701410293579
78,0.0016861243703990454,4.025681972503662,35.32999801635742,66.7699966430664,2.6904385089874268
79,0.0016784915898342475,3.9831674098968506,34.68000030517578,65.37999725341797,2.6879842281341553
80,0.001670784953327064,4.0043439865112305,35.93000030517578,66.72999572753906,2.6747171878814697
81,0.0016630053059970337,3.982339382171631,36.57999801635742,66.83999633789062,2.6342406272888184
82,0.001655153500970155,3.9826126098632812,36.0,66.63999938964844,2.658275604248047
83,0.0016472303992853309,3.970017194747925,38.0099983215332,68.83999633789062,2.535278797149658
84,0.0016392368697999463,3.972123861312866,36.37999725341797,67.72000122070312,2.6013073921203613
85,0.0016311737890945884,3.980394124984741,38.5099983215332,69.40999603271484,2.5169453620910645
86,0.001623042041376919,3.9356424808502197,36.779998779296875,68.79999542236328,2.575871706008911
87,0.0016148425183847117,3.984928607940674,39.46999740600586,70.0199966430664,2.540233850479126
88,0.0016065761192880631,3.973001003265381,38.90999984741211,69.47999572753906,2.533230781555176
89,0.0015982437505907877,3.9773261547088623,38.98999786376953,69.43000030517578,2.5901615619659424
90,0.0015898463260310108,3.9576327800750732,39.59000015258789,70.68999481201172,2.5268309116363525
91,0.0015813847664809654,3.9490909576416016,39.86000061035156,70.65999603271484,2.495891809463501
92,0.0015728599998460098,3.929927110671997,40.0099983215332,70.87999725341797,2.4925286769866943
93,0.0015642729609628703,3.8872828483581543,40.05999755859375,71.6199951171875,2.439979076385498
94,0.0015556245914971273,3.8812179565429688,42.02000045776367,73.44999694824219,2.318209648132324
95,0.001546915839839952,3.9448208808898926,41.36000061035156,72.08000183105469,2.414438486099243
96,0.0015381476610041016,3.94335675239563,41.0,72.30999755859375,2.4267618656158447
97,0.0015293210165191944,3.91372013092041,41.87999725341797,72.15999603271484,2.3935844898223877
98,0.0015204368743262646,3.9462738037109375,41.619998931884766,73.04999542236328,2.388134002685547
99,0.0015114962086716195,3.9273221492767334,38.29999923706055,70.5199966430664,2.494765520095825
100,0.0015025,3.899911403656006,42.21999740600586,72.33999633789062,2.4429116249084473
101,0.0014934492348470652,3.900697946548462,41.05999755859375,72.56999969482422,2.3809711933135986
102,0.0014843449057312067,3.913670063018799,41.53999710083008,72.13999938964844,2.416654586791992
103,0.0014751880110447089,3.843106508255005,42.40999984741211,73.6199951171875,2.3694069385528564
104,0.0014659795549442625,3.9011926651000977,43.66999816894531,74.88999938964844,2.310147762298584
105,0.001456720547240849,3.8774662017822266,42.97999954223633,74.5,2.343472957611084
106,0.0014474120032890029,3.874074697494507,42.93000030517578,74.55999755859375,2.2984626293182373
107,0.001438054943875466,3.8905715942382812,45.5099983215332,76.5,2.271854877471924
108,0.0014286503951072473,3.8801536560058594,44.87999725341797,75.50999450683594,2.2993266582489014
109,0.0014191993882990994,3.813913106918335,44.98999786376953,75.29999542236328,2.243443727493286
110,0.0014097029598604213,3.863720417022705,45.869998931884766,76.87999725341797,2.170351028442383
111,0.0014001621511816067,3.8571670055389404,45.099998474121094,76.04999542236328,2.305166244506836
112,0.0013905780085198426,3.782660722732544,46.709999084472656,77.05999755859375,2.152186393737793
