step,loss,acc,lr
50,3.7853848934173584,0.059691332280635834,0.00010094999999999999
100,3.27182936668396,0.1122945100069046,0.00020089999999999984
150,2.495056629180908,0.2824239730834961,0.00030084999999999997
200,0.5622839331626892,0.8468447923660278,0.00040079999999999977
250,0.1177217960357666,0.9701730608940125,0.0005007499999999998
300,0.0520237535238266,0.986767053604126,0.0006007
350,0.04021982476115227,0.988792896270752,0.0007006499999999999
400,0.03803164139389992,0.9888143539428711,0.0008005999999999998
450,0.02653404138982296,0.9909869432449341,0.0009005499999999991
500,0.03437533229589462,0.9891329407691956,0.0010004999999999997
550,0.02871638908982277,0.9906264543533325,0.0011004499999999993
600,0.027212636545300484,0.9928174018859863,0.001200399999999999
650,0.03386486694216728,0.9896551966667175,0.0013003499999999998
700,0.022342396900057793,0.9944357872009277,0.001400300000000001
750,0.016628511250019073,0.9948968291282654,0.0015002500000000011
800,0.022516800090670586,0.9933256506919861,0.0016002000000000015
850,0.024985618889331818,0.9900385141372681,0.0017001500000000023
900,0.025320883840322495,0.9926283955574036,0.0018001000000000037
950,0.021167179569602013,0.9923344850540161,0.001900050000000002
1000,0.029892973601818085,0.9901960492134094,0.002
1050,0.023347074165940285,0.9936403632164001,0.001999937371470926
1100,0.022337470203638077,0.992751955986023,0.0019997494937677917
1150,0.018815357238054276,0.9939718842506409,0.0019994363905418634
1200,0.01772903837263584,0.9944109320640564,0.0019989981012086054
1250,0.015267706476151943,0.9955644607543945,0.0019984346809427257
1300,0.0184984989464283,0.993309497833252,0.0019977462006712204
1350,0.01583079993724823,0.9954983592033386,0.0019969327470644596
1400,0.011903420090675354,0.9961806535720825,0.0019959944225252596
1450,0.01068788580596447,0.9968439936637878,0.0019949313451760055
1500,0.010347522795200348,0.9961934685707092,0.001993743648843773
1550,0.011740376241505146,0.9966871738433838,0.0019924314830434874
1600,0.011717082932591438,0.9967970848083496,0.0019909950129590914
1650,0.008877294138073921,0.9970554709434509,0.001989434419422768
1700,0.010693836025893688,0.9964317083358765,0.0019877498988921587
1750,0.005437971092760563,0.9982269406318665,0.00198594166342564
1800,0.007207916583865881,0.9972813725471497,0.001984009940655632
1850,0.009389383718371391,0.9972375631332397,0.0019819549737599335
1900,0.0060026273131370544,0.9977920055389404,0.0019797770214311145
1950,0.005669169593602419,0.9986120462417603,0.0019774763578439512
2000,0.005602656397968531,0.997967004776001,0.0019750532726209072
2050,0.011303084902465343,0.9957865476608276,0.0019725080707956788
2100,0.008910240605473518,0.996688723564148,0.001969841072774794
2150,0.0072066280990839005,0.9984003901481628,0.00196705261429727
2200,0.007127011194825172,0.9975258708000183,0.001964143046392363
2250,0.006821379531174898,0.9981797337532043,0.001961112735335361
2300,0.005720667541027069,0.9979775547981262,0.0019579620626014875
2350,0.00391506589949131,0.9984083771705627,0.001954691424817879
2400,0.004237092100083828,0.9986124038696289,0.0019513012337136512
2450,0.007056624628603458,0.9976984858512878,0.001947791916068064
2500,0.004219260066747665,0.9983992576599121,0.0019441639136567983
2550,0.006549539510160685,0.9982059001922607,0.0019404176831963463
2600,0.005603568162769079,0.9973178505897522,0.001936553696286513
2650,0.005399460904300213,0.9974793791770935,0.0019325724393510486
2700,0.0033218907192349434,0.9993025064468384,0.0019284744135764187
2750,0.005048335995525122,0.9977934956550598,0.0019242601348487055
2800,0.007295690942555666,0.9978536367416382,0.0019199301336886685
2850,0.008687274530529976,0.9967955946922302,0.0019154849551849585
2900,0.003934111911803484,0.9988487362861633,0.001910925158925498
2950,0.005713259801268578,0.9984360933303833,0.001906251318927034
3000,0.0028693187050521374,0.9993387460708618,0.0019014640235628826
3050,0.005110910162329674,0.9988759160041809,0.0018965638754888574
3100,0.009083602577447891,0.9979652166366577,0.0018915514915674007
3150,0.0071481275372207165,0.9986438155174255,0.0018864275027899355
3200,0.004427478648722172,0.9983728528022766,0.0018811925541974274
3250,0.007622142322361469,0.9982026815414429,0.0018758473047991826
3300,0.0032859286293387413,0.9988235235214233,0.0018703924274898903
3350,0.008724882267415524,0.9977693557739258,0.0018648286089649106
3400,0.005112692713737488,0.9977538585662842,0.0018591565496338324
3450,0.0034665134735405445,0.9986663460731506,0.001853376963532297
3500,0.0053010862320661545,0.9979451894760132,0.0018474905782321182
3550,0.0061738332733511925,0.9986510872840881,0.0018414981347496839
3600,0.006509712897241116,0.9984076619148254,0.001835400387452672
3650,0.007367995567619801,0.9981583952903748,0.001829198103965092
3700,0.005458608735352755,0.997977077960968,0.001822892065070647
3750,0.0033492264337837696,0.9988399147987366,0.00181648306461444
3800,0.005465669557452202,0.9984591603279114,0.0018099719094030495
3850,0.00442943349480629,0.9988415241241455,0.001803359419102953
3900,0.00328678241930902,0.9979624152183533,0.0017966464261373505
3950,0.0030698792543262243,0.9988657236099243,0.0017898337755813654
4000,0.005267730914056301,0.9983915686607361,0.0017829223250556674
4050,0.006785483565181494,0.9981809854507446,0.0017759129446185112
4100,0.0055243344977498055,0.9979888200759888,0.0017688065166561995
4150,0.0030516551341861486,0.9988903999328613,0.0017616039357720103
4200,0.003750196658074856,0.9982174634933472,0.0017543061086735723
4250,0.0032606739550828934,0.9988796710968018,0.0017469139540587284
4300,0.006099571939557791,0.9982296824455261,0.001739428402499883
4350,0.003898021299391985,0.9986042976379395,0.0017318503963268505
4400,0.002735059941187501,0.9986388683319092,0.0017241808895082339
4450,0.00722650159150362,0.9979282021522522,0.0017164208475313302
4500,0.002919549122452736,0.9988970160484314,0.0017085712472805937
4550,0.004504716955125332,0.9982186555862427,0.0017006330769146504
4600,0.002628697082400322,0.9988502860069275,0.0016926073357419098
4650,0.009290730580687523,0.9979679584503174,0.0016844950340947622
4700,0.004257065709680319,0.9990850687026978,0.001676297193202393
4750,0.003743282053619623,0.9988749027252197,0.0016680148450622242
4800,0.003460623323917389,0.9990865588188171,0.0016596490323099941
4850,0.003488886868581176,0.9986313581466675,0.0016512008080885137
4900,0.002340319799259305,0.9991013407707214,0.0016426712359150805
4950,0.0026396282482892275,0.9995371699333191,0.0016340613895476017
5000,0.004618884064257145,0.998600423336029,0.0016253723528494206
5050,0.004365658853203058,0.9984520077705383,0.0016166052196528757
5100,0.001329974620603025,0.9995583295822144,0.0016077610936215967
5150,0.005238937679678202,0.9986476898193359,0.0015988410881115718
5200,0.006084631197154522,0.9981277585029602,0.0015898463260309915
5250,0.0023008629214018583,0.9988871812820435,0.001580777939698887
5300,0.004664753098040819,0.9986400604248047,0.0015716370707025895
5350,0.004938033875077963,0.9986257553100586,0.0015624248697540183
5400,0.002156885340809822,0.9991015195846558,0.001553142496544822
5450,0.0015905059408396482,0.9993429780006409,0.0015437911196003876
5500,0.002529105404391885,0.9990829825401306,0.0015343719161327407
5550,0.0039165145717561245,0.9991029500961304,0.001524886071892349
5600,0.003481960389763117,0.9984230399131775,0.0015153347810188563
5650,0.0043028611689805984,0.9986604452133179,0.001505719245890752
5700,0.0035376432351768017,0.9990931749343872,0.0014960406769740065
5750,0.005724993534386158,0.9975935220718384,0.0014863002926696945
5800,0.002636074088513851,0.9993378520011902,0.0014764993191606155
5850,0.006343910004943609,0.9988631010055542,0.0014666389902569265
5900,0.003045498626306653,0.9988769292831421,0.0014567205472408313
5950,0.0013368400977924466,0.9997719526290894,0.0014467452387103123
6000,0.002927443478256464,0.9990900754928589,0.0014367143204219526
6050,0.006395089440047741,0.9981977939605713,0.0014266290551328536
6100,0.0010833467822521925,0.9995519518852234,0.0014164907124416704
6150,0.0050884089432656765,0.9984043836593628,0.0014063005686287837
6200,0.002610086463391781,0.9993081092834473,0.0013960599064956377
6250,0.0023414629977196455,0.9993285536766052,0.001385770015203248
6300,0.003943100571632385,0.9986082315444946,0.0013754321901099193
6350,0.0021395282819867134,0.9990946054458618,0.0013650477326081724
6400,0.00142986502032727,0.9993175864219666,0.00135461794996092
6450,0.0027687684632837772,0.9988594651222229,0.0013441441551368962
6500,0.003143364330753684,0.9989039897918701,0.0013336276666453754
6550,0.004729724954813719,0.9979433417320251,0.001323069808370188
6600,0.0027059053536504507,0.9991003274917603,0.0013124719094030578
6650,0.002549137454479933,0.9991227984428406,0.0013018353038762958
6700,0.003344854572787881,0.999069333076477,0.0012911613307948423
6750,0.0018698422936722636,0.9995344877243042,0.001280451333867711
6800,0.0030174506828188896,0.9990755319595337,0.0012697066613388268
6850,0.0008868478471413255,0.9995510578155518,0.0012589286658173096
6900,0.002740085357800126,0.9993144869804382,0.0012481187041071904
6950,0.0005684293573722243,0.9997714161872864,0.0012372781370366124
7000,0.0011605264153331518,0.9997720718383789,0.001226408329286519
7050,0.001424414454959333,0.999549150466919,0.0012155106492188635
7100,0.003691270714625716,0.9986633658409119,0.001204586468704344
7150,0.0021323482505977154,0.9995436668395996,0.0011936371629497078
7200,0.0019301681313663721,0.9995523691177368,0.0011826641103246307
7250,0.001014971872791648,0.9993376135826111,0.0011716686921882003
7300,0.0012597843306139112,0.9997766613960266,0.001160652292715017
7350,0.0012223771773278713,0.9997748732566833,0.0011496162987209503
7400,0.0006932750111445785,0.9997734427452087,0.001138562099488554
7450,0.005012956447899342,0.9984003901481628,0.001127491086592176
7500,0.001332838204689324,0.9995392560958862,0.0011164046537227783
7550,0.0003450073127169162,1.0,0.0011053041965124872
7600,0.0023908361326903105,0.9990900754928589,0.0010941911123589052
7650,0.005314781330525875,0.9983454942703247,0.0010830668002491952
7700,0.0009002826409414411,0.9995484948158264,0.0010719326605839682
7750,0.0026611422654241323,0.9995275735855103,0.0010607900950009954
7800,0.0023642799351364374,0.9990970492362976,0.0010496405061987523
7850,0.0017307825619354844,0.999083399772644,0.001038485297759845
7900,0.004790595266968012,0.9993232488632202,0.0010273258739743158
7950,0.0005861455574631691,0.9997689723968506,0.0010161636396628614
8000,0.0023770860861986876,0.9991047382354736,0.001004999999999989
8050,0.004545212723314762,0.9986298084259033,0.0009938363603371177
8100,0.0028887430671602488,0.9995458722114563,0.000982674126025663
8150,0.0015128364320844412,0.9993294477462769,0.0009715147022401328
8200,0.0032537668012082577,0.9988579750061035,0.0009603594938012258
8250,0.000301710213534534,1.0,0.000949209904998982
8300,0.002576939994469285,0.9993243217468262,0.000938067339416009
8350,0.003480223473161459,0.9988784193992615,0.0009269331997507829
8400,0.0009329767199233174,0.9997748732566833,0.0009158088876410721
8450,0.0013360022567212582,0.9995396137237549,0.0009046958034874888
8500,0.002097515622153878,0.9995439648628235,0.0008935953462771972
8550,0.001095291692763567,0.9995526075363159,0.0008825089134077986
8600,0.0031804258469492197,0.9991055130958557,0.0008714379005114209
8650,0.0008800129871815443,0.9995449185371399,0.0008603837012790253
8700,0.0003912700340151787,1.0,0.0008493477072849589
8750,0.0007830152753740549,0.999771237373352,0.0008383313078117762
8800,0.001681033056229353,0.9997764825820923,0.0008273358896753454
8850,0.0002063745923805982,1.0,0.0008163628370502692
8900,0.00013108490384183824,1.0,0.0008054135312956333
8950,0.0016770617803558707,0.9993206858634949,0.000794489350781113
9000,0.0047077881172299385,0.9993253946304321,0.0007835916707134574
9050,0.0012176973978057504,0.9993124008178711,0.0007727218629633642
9100,0.0020311076659709215,0.9993287324905396,0.0007618812958927854
9150,0.001335306209512055,0.9995449185371399,0.0007510713341826657
9200,0.00033676630118861794,0.9997708201408386,0.0007402933386611482
9250,0.0009451456135138869,0.9997724890708923,0.0007295486661322649
9300,0.0004651806957554072,1.0,0.0007188386692051329
9350,0.00021702752565033734,1.0,0.0007081646961236799
9400,0.0005033811321482062,1.0,0.0006975280905969178
9450,6.799517723266035e-05,1.0,0.0006869301916297879
9500,0.00034671465982683003,1.0,0.0006763723333545998
9550,0.0006757593364454806,0.9995477199554443,0.0006658558448630792
9600,0.0006956603610888124,0.9995542764663696,0.0006553820500390553
9650,0.00011183721653651446,1.0,0.0006449522673918026
9700,0.00015522437752224505,1.0,0.0006345678098900557
9750,0.002455582143738866,0.9990927577018738,0.0006242299847967267
9800,0.0008900106186047196,0.9997711777687073,0.0006139400935043373
9850,0.0011776072205975652,0.9995589852333069,0.0006036994313711907
9900,0.0006513486732728779,0.9997748136520386,0.0005935092875583038
9950,0.0011537139071151614,0.9995595216751099,0.0005833709448671204
10000,0.00021366268629208207,1.0,0.0005732856795780216
10050,0.0011520538246259093,0.9997771978378296,0.000563254761289662
10100,0.0005667959339916706,0.9997716546058655,0.000553279452759143
10150,0.0004296719853300601,0.9997736215591431,0.0005433610097430476
10200,0.00022305104357656091,1.0,0.000533500680839359
10250,0.0001406366500305012,1.0,0.000523699707330279
10300,9.528548253001645e-05,1.0,0.0005139593230259677
10350,0.00024199440667871386,1.0,0.0005042807541092221
10400,0.000300189625704661,1.0,0.0004946652189811165
10450,0.00041003921069204807,0.999774158000946,0.0004851139281076231
10500,0.0005613385583274066,0.9997763633728027,0.00047562808386723246
10550,0.0007624360732734203,0.9997760653495789,0.00046620888039958556
10600,0.0018815560033544898,0.9995430111885071,0.00045685750345515096
10650,0.0005058424430899322,0.9995400905609131,0.0004475751302459543
10700,0.0009487021598033607,0.9997771382331848,0.0004383629292973833
10750,0.00015854900993872434,1.0,0.00042922206030108644
10800,9.552406845614314e-05,1.0,0.0004201536739689825
10850,0.00010793160618050024,1.0,0.00041115891188840215
10900,0.0005375734763219953,0.9997721910476685,0.00040223890637837786
10950,0.0008974440861493349,0.9995279312133789,0.00039339478034709893
11000,8.469201566185802e-05,1.0,0.0003846276471505542
11050,0.00015474202518817037,1.0,0.0003759386104523738
