step,loss,acc,lr
5,4.10147762298584,0.044025156646966934,0.0010005
10,3.812690496444702,0.056338027119636536,0.002
15,3.5577051639556885,0.04580152779817581,0.0019242601348487306
20,3.529921531677246,0.027586206793785095,0.0017085712472806153
25,3.492175817489624,0.048192769289016724,0.0013857700152032648
30,3.5190796852111816,0.00699300691485405,0.0010050000000000005
35,3.513611316680908,0.03703703731298447,0.0006242299847967359
40,3.5146896839141846,0.0357142873108387,0.0003014287527193854
45,3.468329906463623,0.02857142873108387,8.573986515126972e-05
50,3.4855921268463135,0.02097902074456215,1e-05
