step,loss,acc,lr
50,4.3437724113464355,0.016902988776564598,0.00010094999999999999
100,4.173196315765381,0.03520563244819641,0.00020089999999999984
150,3.9768424034118652,0.054060451686382294,0.00030084999999999997
200,3.803687810897827,0.07093151658773422,0.00040079999999999977
250,2.5707879066467285,0.4270619750022888,0.0005007499999999998
300,2.1156656742095947,0.503872275352478,0.0006007
350,1.916414499282837,0.5459365248680115,0.0007006499999999999
400,1.815632939338684,0.5650374293327332,0.0008005999999999998
450,1.7417011260986328,0.5754495859146118,0.0009005499999999991
500,1.6718329191207886,0.5814833045005798,0.0010004999999999997
550,1.6304831504821777,0.5907760858535767,0.0011004499999999993
600,1.5625959634780884,0.5971308350563049,0.001200399999999999
650,1.5452357530593872,0.5963662266731262,0.0013003499999999998
700,1.5280113220214844,0.6020796895027161,0.001400300000000001
750,1.4796297550201416,0.6077651381492615,0.0015002500000000011
800,1.440748929977417,0.614352285861969,0.0016002000000000015
850,1.432242751121521,0.6156187057495117,0.0017001500000000023
900,1.3997730016708374,0.6225478649139404,0.0018001000000000037
950,1.4050207138061523,0.6192905902862549,0.001900050000000002
1000,1.3742831945419312,0.6250301003456116,0.002
1050,1.3421406745910645,0.6254894137382507,0.001999937371470926
1100,1.3078402280807495,0.6403021812438965,0.0019997494937677917
1150,1.3106051683425903,0.6387787461280823,0.0019994363905418634
1200,1.258465051651001,0.6521807909011841,0.0019989981012086054
1250,1.2483242750167847,0.6484237313270569,0.0019984346809427257
1300,1.2288159132003784,0.6495379209518433,0.0019977462006712204
1350,1.2131935358047485,0.6546688079833984,0.0019969327470644596
1400,1.2275131940841675,0.6544573307037354,0.0019959944225252596
1450,1.180073618888855,0.6620111465454102,0.0019949313451760055
1500,1.1343408823013306,0.66824871301651,0.001993743648843773
1550,1.144701361656189,0.6692951321601868,0.0019924314830434874
1600,1.1476943492889404,0.6695430278778076,0.0019909950129590914
1650,1.147986888885498,0.6678677797317505,0.001989434419422768
1700,1.1049422025680542,0.677411675453186,0.0019877498988921587
1750,1.1097933053970337,0.6698549389839172,0.00198594166342564
1800,1.0976570844650269,0.6822867393493652,0.001984009940655632
1850,1.0872706174850464,0.6828617453575134,0.0019819549737599335
1900,1.0868747234344482,0.6812654137611389,0.0019797770214311145
1950,1.0791881084442139,0.6777379512786865,0.0019774763578439512
2000,1.0707372426986694,0.6805257201194763,0.0019750532726209072
2050,1.0530396699905396,0.6892547607421875,0.0019725080707956788
2100,1.059045672416687,0.6839308142662048,0.001969841072774794
2150,1.0152431726455688,0.6899816989898682,0.00196705261429727
2200,0.990204930305481,0.7009901404380798,0.001964143046392363
2250,1.0062817335128784,0.6956383585929871,0.001961112735335361
2300,1.0150184631347656,0.6925399303436279,0.0019579620626014875
2350,0.9448084235191345,0.7123519778251648,0.001954691424817879
2400,0.946301281452179,0.7029386162757874,0.0019513012337136512
2450,0.9073735475540161,0.7161979079246521,0.001947791916068064
2500,0.9527822136878967,0.700303852558136,0.0019441639136567983
2550,0.949874758720398,0.7045092582702637,0.0019404176831963463
2600,0.9133032560348511,0.710427463054657,0.001936553696286513
2650,0.8767402768135071,0.7252536416053772,0.0019325724393510486
2700,0.8811825513839722,0.7145697474479675,0.0019284744135764187
2750,0.9013839960098267,0.7106744050979614,0.0019242601348487055
2800,0.8569540977478027,0.7228109240531921,0.0019199301336886685
2850,0.8405685424804688,0.7272072434425354,0.0019154849551849585
2900,0.8837245106697083,0.7218825817108154,0.001910925158925498
2950,0.8462040424346924,0.7240140438079834,0.001906251318927034
3000,0.821002721786499,0.7322585582733154,0.0019014640235628826
3050,0.8093701601028442,0.7309728860855103,0.0018965638754888574
3100,0.7984737157821655,0.7349637746810913,0.0018915514915674007
3150,0.7382716536521912,0.7543210983276367,0.0018864275027899355
3200,0.76448655128479,0.7432712316513062,0.0018811925541974274
3250,0.7341777682304382,0.7551577687263489,0.0018758473047991826
3300,0.7373047471046448,0.750140368938446,0.0018703924274898903
3350,0.7595359683036804,0.7485216856002808,0.0018648286089649106
3400,0.7428324818611145,0.7487727403640747,0.0018591565496338324
3450,0.700581431388855,0.7601178884506226,0.001853376963532297
3500,0.6564714908599854,0.7707765698432922,0.0018474905782321182
3550,0.6564422845840454,0.7711079716682434,0.0018414981347496839
3600,0.6658536195755005,0.7655736207962036,0.001835400387452672
3650,0.6522552371025085,0.774385392665863,0.001829198103965092
3700,0.6406989693641663,0.7723086476325989,0.001822892065070647
3750,0.6793493628501892,0.7669256329536438,0.00181648306461444
3800,0.6401715874671936,0.7783951163291931,0.0018099719094030495
3850,0.6892707943916321,0.758756697177887,0.001803359419102953
3900,0.6024779081344604,0.7901711463928223,0.0017966464261373505
3950,0.6227173209190369,0.7812901139259338,0.0017898337755813654
4000,0.5856917500495911,0.7885273098945618,0.0017829223250556674
4050,0.6137566566467285,0.7826225161552429,0.0017759129446185112
4100,0.5726820826530457,0.7882925868034363,0.0017688065166561995
4150,0.5821057558059692,0.7891857624053955,0.0017616039357720103
4200,0.6291803121566772,0.7755444049835205,0.0017543061086735723
4250,0.563573956489563,0.7917587757110596,0.0017469139540587284
4300,0.5842328667640686,0.7946622371673584,0.001739428402499883
4350,0.555438756942749,0.7986631393432617,0.0017318503963268505
4400,0.5427303910255432,0.8029941320419312,0.0017241808895082339
4450,0.5443152785301208,0.8025385737419128,0.0017164208475313302
4500,0.5505869388580322,0.8012900948524475,0.0017085712472805937
4550,0.522072970867157,0.8075360655784607,0.0017006330769146504
4600,0.5305824279785156,0.8070343732833862,0.0016926073357419098
4650,0.5419569611549377,0.8046507835388184,0.0016844950340947622
4700,0.48942849040031433,0.8251753449440002,0.001676297193202393
4750,0.4916193187236786,0.8173940777778625,0.0016680148450622242
4800,0.4736526608467102,0.822563886642456,0.0016596490323099941
4850,0.5085318684577942,0.8129381537437439,0.0016512008080885137
4900,0.4724419414997101,0.8245880603790283,0.0016426712359150805
4950,0.5045229196548462,0.8160590529441833,0.0016340613895476017
