epoch,lr,train_loss,val_top1,val_top5,val_loss
0,1e-06,4.61828088760376,1.4299999475479126,4.509999752044678,4.619142532348633
1,4.098e-05,4.610202312469482,1.5199999809265137,7.009999752044678,4.59267520904541
2,8.096e-05,4.591843128204346,2.3299999237060547,12.529999732971191,4.495638847351074
3,0.00012093999999999999,4.555165767669678,3.9599997997283936,17.60999870300293,4.394522666931152
4,0.00016092,4.51312255859375,6.809999942779541,23.899999618530273,4.2745747566223145
5,0.0002009,4.475216865539551,8.369999885559082,26.59000015258789,4.194700241088867
6,0.00024087999999999998,4.462060928344727,9.010000228881836,28.209999084472656,4.136148929595947
7,0.00028086,4.435366153717041,9.279999732971191,29.649999618530273,4.082190990447998
8,0.00032084,4.4297075271606445,10.899999618530273,32.66999816894531,4.00870943069458
9,0.00036082000000000003,4.412205696105957,11.65999984741211,33.41999816894531,3.9508228302001953
10,0.00040080000000000004,4.389363765716553,12.75,35.0099983215332,3.921865463256836
11,0.00044078000000000005,4.362092018127441,13.920000076293945,37.7599983215332,3.84548282623291
12,0.00048076,4.364452838897705,13.069999694824219,36.82999801635742,3.846834182739258
13,0.00052074,4.3466410636901855,14.649999618530273,39.29999923706055,3.7640280723571777
14,0.00056072,4.336126327514648,15.489999771118164,39.87999725341797,3.744442939758301
15,0.0006007,4.335687160491943,16.639999389648438,42.36000061035156,3.6685380935668945
16,0.00064068,4.320087432861328,16.31999969482422,41.78999710083008,3.645012378692627
17,0.00068066,4.317819595336914,16.8799991607666,43.87999725341797,3.6278607845306396
18,0.00072064,4.272655010223389,17.799999237060547,43.55999755859375,3.5923917293548584
19,0.00076062,4.2722368240356445,18.10999870300293,45.88999938964844,3.546787738800049
20,0.0008006,4.288351535797119,19.25,44.939998626708984,3.5726609230041504
21,0.0008405800000000001,4.2616424560546875,19.75,47.28999710083008,3.4662773609161377
22,0.0008805600000000001,4.2637481689453125,20.829999923706055,48.59000015258789,3.4485116004943848
23,0.0009205400000000001,4.253203392028809,20.60999870300293,48.54999923706055,3.4704835414886475
24,0.00096052,4.28128719329834,21.809999465942383,49.81999969482422,3.432572841644287
25,0.0010004999999999999,4.207512378692627,22.209999084472656,50.46999740600586,3.3741111755371094
26,0.0010404799999999999,4.2173967361450195,22.959999084472656,50.66999816894531,3.3804500102996826
