step,loss,acc,lr
50,4.345167636871338,0.0159225482493639,0.00010094999999999999
100,4.166934490203857,0.03311470150947571,0.00020089999999999984
150,3.97489595413208,0.05543219670653343,0.00030084999999999997
200,3.799076557159424,0.0697748214006424,0.00040079999999999977
250,2.570956230163574,0.4233852028846741,0.0005007499999999998
300,2.1485912799835205,0.5002382397651672,0.0006007
350,1.9394911527633667,0.5422501564025879,0.0007006499999999999
400,1.8217107057571411,0.5644454956054688,0.0008005999999999998
450,1.7233390808105469,0.577740490436554,0.0009005499999999991
500,1.6604571342468262,0.586198627948761,0.0010004999999999997
550,1.5972319841384888,0.5941730737686157,0.0011004499999999993
600,1.5530481338500977,0.6012104153633118,0.001200399999999999
650,1.51615571975708,0.608519434928894,0.0013003499999999998
700,1.492532730102539,0.6073244214057922,0.001400300000000001
750,1.4699695110321045,0.6082029938697815,0.0015002500000000011
800,1.4297081232070923,0.6149578094482422,0.0016002000000000015
850,1.429376244544983,0.6157373785972595,0.0017001500000000023
900,1.380766749382019,0.6258530020713806,0.0018001000000000037
950,1.3529844284057617,0.6309323310852051,0.001900050000000002
1000,1.3597298860549927,0.6295461654663086,0.002
1050,1.3538322448730469,0.625520646572113,0.001999937371470926
1100,1.2993693351745605,0.6352363228797913,0.0019997494937677917
1150,1.2793700695037842,0.6425194144248962,0.0019994363905418634
1200,1.2648059129714966,0.6446216106414795,0.0019989981012086054
1250,1.2432165145874023,0.6498119831085205,0.0019984346809427257
1300,1.1867001056671143,0.6605031490325928,0.0019977462006712204
1350,1.178957462310791,0.6659216284751892,0.0019969327470644596
1400,1.1987261772155762,0.6594173908233643,0.0019959944225252596
1450,1.1514642238616943,0.670409619808197,0.0019949313451760055
1500,1.1463685035705566,0.6696555614471436,0.001993743648843773
1550,1.1487598419189453,0.6649426817893982,0.0019924314830434874
1600,1.1508417129516602,0.6641677618026733,0.0019909950129590914
1650,1.137148380279541,0.6685312986373901,0.001989434419422768
1700,1.1262907981872559,0.6715456247329712,0.0019877498988921587
1750,1.107407569885254,0.6741170883178711,0.00198594166342564
1800,1.083086609840393,0.6823904514312744,0.001984009940655632
1850,1.0729740858078003,0.6840466260910034,0.0019819549737599335
1900,1.1029536724090576,0.677432119846344,0.0019797770214311145
1950,1.0470046997070312,0.6892691254615784,0.0019774763578439512
2000,1.036681056022644,0.6945672631263733,0.0019750532726209072
2050,1.0724505186080933,0.6842525601387024,0.0019725080707956788
2100,1.0548985004425049,0.6875446438789368,0.001969841072774794
2150,1.0249781608581543,0.6915355920791626,0.00196705261429727
2200,1.0204890966415405,0.6970154047012329,0.001964143046392363
2250,0.9880615472793579,0.7008383274078369,0.001961112735335361
2300,0.9883303046226501,0.7013142108917236,0.001957962062601487
2350,1.0002692937850952,0.6986039280891418,0.0019546914248178785
2400,1.0216846466064453,0.6928417682647705,0.0019513012337136512
2450,0.9714643955230713,0.7023819088935852,0.001947791916068064
2500,0.9965173006057739,0.689812958240509,0.0019441639136567983
2550,0.9708688259124756,0.6990198493003845,0.0019404176831963463
2600,0.9594777822494507,0.7027739882469177,0.001936553696286513
2650,0.9412809610366821,0.704811155796051,0.0019325724393510486
2700,0.9251928329467773,0.7112065553665161,0.0019284744135764187
2750,0.8933396339416504,0.7160347104072571,0.0019242601348487055
2800,0.8790925145149231,0.7177884578704834,0.0019199301336886685
2850,0.9359915852546692,0.7046628594398499,0.0019154849551849585
2900,0.9023288488388062,0.7111930847167969,0.001910925158925498
2950,0.8579472899436951,0.7206295728683472,0.001906251318927034
3000,0.8323116898536682,0.7237643003463745,0.0019014640235628826
3050,0.8726432919502258,0.7170435190200806,0.0018965638754888574
3100,0.8536791801452637,0.724992036819458,0.0018915514915674007
3150,0.8511925339698792,0.724115788936615,0.0018864275027899355
3200,0.8049956560134888,0.7318753600120544,0.0018811925541974274
3250,0.8042649626731873,0.7364563345909119,0.0018758473047991826
3300,0.8275032639503479,0.730104386806488,0.0018703924274898903
3350,0.8085048794746399,0.7312782406806946,0.0018648286089649104
3400,0.7855715751647949,0.7402135133743286,0.001859156549633832
3450,0.7860823273658752,0.7370004057884216,0.0018533769635322966
3500,0.7415162920951843,0.7465836405754089,0.0018474905782321178
3550,0.7871115803718567,0.7427720427513123,0.0018414981347496834
3600,0.7518714666366577,0.7481576204299927,0.0018354003874526716
3650,0.7339144349098206,0.7501787543296814,0.0018291981039650915
3700,0.7253202795982361,0.7555644512176514,0.0018228920650706466
3750,0.730025589466095,0.7494470477104187,0.0018164830646144395
3800,0.709230899810791,0.7576290369033813,0.001809971909403049
3850,0.7215084433555603,0.7565315365791321,0.0018033594191029525
3900,0.6904231309890747,0.7611752152442932,0.00179664642613735
3950,0.6949869394302368,0.7632313966751099,0.001789833775581365
4000,0.6987025141716003,0.7614071369171143,0.001782922325055667
4050,0.6901149749755859,0.7579557299613953,0.0017759129446185107
4100,0.6547216176986694,0.7699825167655945,0.0017688065166561993
4150,0.678506076335907,0.7653077244758606,0.00176160393577201
4200,0.6568436622619629,0.7717141509056091,0.0017543061086735718
4250,0.6673474907875061,0.7672816514968872,0.0017469139540587277
4300,0.6642945408821106,0.7697190642356873,0.0017394284024998825
4350,0.6487022042274475,0.7698304653167725,0.00173185039632685
4400,0.6457286477088928,0.7709047794342041,0.0017241808895082336
4450,0.6356848478317261,0.7774325013160706,0.00171642084753133
4500,0.6159418225288391,0.7798737287521362,0.0017085712472805937
4550,0.6377797722816467,0.7751173377037048,0.0017006330769146504
4600,0.6182366609573364,0.783071756362915,0.0016926073357419098
4650,0.5909721255302429,0.7856574654579163,0.0016844950340947622
4700,0.633999764919281,0.7775393128395081,0.0016762971932023929
4750,0.6174402832984924,0.7802719473838806,0.0016680148450622235
